sexo,periodo_matricula,turma,codigo_tipo_matricula,tipo_matricula,codigo_situacao,situacao,media_final,nome_disciplina,numero_creditos,nome_setor,periodo_relativo
Masculino,1984.2,0.0,1.0,Normal,3.0,Aprovado,7.8,ECONOMIA,4.0,UNID. ACAD. DE ECONOMIA E FINANCAS,4.0
Masculino,1984.1,0.0,4.0,Dispensa,3.0,Aprovado,,ECONOMIA,4.0,UNID. ACAD. DE ECONOMIA E FINANCAS,1.0
Feminino,1984.2,0.0,1.0,Normal,3.0,Aprovado,8.1,ECONOMIA,4.0,UNID. ACAD. DE ECONOMIA E FINANCAS,2.0
Masculino,1977.2,0.0,1.0,Normal,5.0,Reprovado por Falta,0.0,ECONOMIA,4.0,UNID. ACAD. DE ECONOMIA E FINANCAS,1.0
Masculino,1978.2,0.0,1.0,Normal,4.0,Reprovado,3.1,ECONOMIA,4.0,UNID. ACAD. DE ECONOMIA E FINANCAS,3.0
Masculino,1979.1,0.0,1.0,Normal,3.0,Aprovado,7.0,ECONOMIA,4.0,UNID. ACAD. DE ECONOMIA E FINANCAS,4.0
Feminino,1982.2,0.0,1.0,Normal,2.0,Trancado,,ECONOMIA,4.0,UNID. ACAD. DE ECONOMIA E FINANCAS,7.0
Feminino,1983.1,0.0,1.0,Normal,3.0,Aprovado,7.5,ECONOMIA,4.0,UNID. ACAD. DE ECONOMIA E FINANCAS,8.0
Feminino,1981.1,0.0,1.0,Normal,2.0,Trancado,,ECONOMIA,4.0,UNID. ACAD. DE ECONOMIA E FINANCAS,4.0
Feminino,1983.2,0.0,1.0,Normal,5.0,Reprovado por Falta,,ECONOMIA,4.0,UNID. ACAD. DE ECONOMIA E FINANCAS,9.0
Feminino,1984.1,0.0,1.0,Normal,5.0,Reprovado por Falta,,ECONOMIA,4.0,UNID. ACAD. DE ECONOMIA E FINANCAS,10.0
Feminino,1985.2,0.0,1.0,Normal,3.0,Aprovado,7.3,ECONOMIA,4.0,UNID. ACAD. DE ECONOMIA E FINANCAS,13.0
Feminino,1978.2,0.0,1.0,Normal,3.0,Aprovado,5.0,ECONOMIA,4.0,UNID. ACAD. DE ECONOMIA E FINANCAS,1.0
Masculino,1980.2,0.0,1.0,Normal,3.0,Aprovado,7.2,ECONOMIA,4.0,UNID. ACAD. DE ECONOMIA E FINANCAS,2.0
Masculino,1983.1,0.0,1.0,Normal,4.0,Reprovado,1.4,ECONOMIA,4.0,UNID. ACAD. DE ECONOMIA E FINANCAS,5.0
Masculino,1983.2,0.0,1.0,Normal,3.0,Aprovado,7.7,ECONOMIA,4.0,UNID. ACAD. DE ECONOMIA E FINANCAS,6.0
Masculino,1983.1,0.0,1.0,Normal,3.0,Aprovado,7.5,ECONOMIA,4.0,UNID. ACAD. DE ECONOMIA E FINANCAS,3.0
Masculino,1985.2,0.0,1.0,Normal,3.0,Aprovado,8.2,ECONOMIA,4.0,UNID. ACAD. DE ECONOMIA E FINANCAS,2.0
Feminino,1985.1,0.0,1.0,Normal,3.0,Aprovado,7.0,ECONOMIA,4.0,UNID. ACAD. DE ECONOMIA E FINANCAS,1.0
Masculino,1984.2,0.0,1.0,Normal,3.0,Aprovado,9.7,ECONOMIA,4.0,UNID. ACAD. DE ECONOMIA E FINANCAS,2.0
Feminino,1997.2,0.0,4.0,Dispensa,3.0,Aprovado,6.8,ECONOMIA,4.0,UNID. ACAD. DE ECONOMIA E FINANCAS,1.0
Feminino,1997.2,0.0,4.0,Dispensa,3.0,Aprovado,5.7,FÍSICA GERAL I,4.0,UNID. ACAD. DE FÍSICA,1.0
Feminino,1999.1,0.0,4.0,Dispensa,3.0,Aprovado,6.1,FÍSICA GERAL III,6.0,UNID. ACAD. DE FÍSICA,4.0
Feminino,1997.2,0.0,4.0,Dispensa,3.0,Aprovado,8.4,FÍSICA GERAL II,4.0,UNID. ACAD. DE FÍSICA,1.0
